iter	Logloss
169	0.5835247089
170	0.5833315598
171	0.5832267095
172	0.5831182015
173	0.5830162422
174	0.5828877643
175	0.5827995967
176	0.5826476347
177	0.582521907
178	0.582431825
179	0.5822867566
180	0.5821936454
181	0.5818694035
182	0.5817170335
183	0.581526372
184	0.5813785586
185	0.5812846108
186	0.5812172467
187	0.5810732772
188	0.5809654986
189	0.5809208953
190	0.5807729704
191	0.5806972248
192	0.5806004172
193	0.5805180552
194	0.5804420947
195	0.5803693754
196	0.580286032
197	0.5801687528
198	0.5801168213
199	0.5800673379
200	0.57993308
201	0.5798647667
202	0.5797205493
203	0.5796506962
204	0.579491806
205	0.5793877758
206	0.5792773718
207	0.5791754082
208	0.5790974569
209	0.5790158542
210	0.578870169
211	0.5788159522
212	0.5786995904
213	0.5786598472
214	0.5785916316
215	0.5785147238
216	0.5784092328
217	0.5783064955
218	0.5782375531
219	0.5781877428
220	0.578146591
221	0.578145206
222	0.5780770919
223	0.5779633548
224	0.5778383074
225	0.5777434683
226	0.5776851229
227	0.57760085
228	0.5775993824
229	0.5775267102
230	0.5774722998
231	0.5774133304
232	0.5773015934
233	0.5772651242
234	0.5772295852
235	0.5771273527
236	0.5771222348
237	0.5770386344
238	0.5770019026
239	0.5769672658
240	0.5768424525
241	0.5767961209
242	0.5767951656
243	0.5767607494
244	0.5766417185
245	0.576608495
246	0.5765416279
247	0.5764582878
248	0.5763451145
249	0.5762996487
250	0.5762110975
251	0.5760862065
252	0.5760218865
253	0.5760208953
254	0.5759577775
255	0.575888266
256	0.5757530664
257	0.5757520354
258	0.575677373
259	0.5756390016
260	0.5755248426
261	0.575499173
262	0.5754790048
263	0.5754232032
264	0.5753198054
265	0.5752900366
266	0.5752408964
267	0.5751971818
268	0.575073647
269	0.5750529118
270	0.5750224685
271	0.5750136242
272	0.5749732538
273	0.5749184548
274	0.5748998755
275	0.5747588941
276	0.5747034306
277	0.5746339002
278	0.5745653889
279	0.5745529784
280	0.5745144423
281	0.5743737219
282	0.5742622406
283	0.5742421949
284	0.5741779274
285	0.5741059467
286	0.573977376
287	0.5739433991
288	0.5739111833
289	0.573888388
290	0.5738776942
291	0.5738520187
292	0.5737998427
293	0.5737374554
294	0.5737367782
295	0.5736807967
296	0.5736147179
297	0.5736006606
298	0.5735726588
299	0.5735523064
300	0.5735216154
301	0.5734788104
302	0.5734247459
303	0.5733238517
304	0.5732451921
305	0.573244632
306	0.5731161978
307	0.5730605384
308	0.5730421094
309	0.5729805579
310	0.5729253478
311	0.5729153687
312	0.5728970517
313	0.5728122917
314	0.5727934974
315	0.5727796915
316	0.5727162234
317	0.5726851899
318	0.5726713256
319	0.5726604969
320	0.572624242
321	0.5725946599
322	0.572518632
323	0.5725177928
324	0.5725122903
325	0.5724953521
326	0.5724614066
327	0.5724498835
328	0.5724061229
329	0.5722994729
330	0.5722383207
331	0.5721803445
332	0.5721712109
333	0.5720679589
334	0.5720148633
335	0.5719850448
336	0.5719744917
337	0.5718824237
338	0.5718752978
339	0.5718295492
340	0.5718200817
341	0.5718116238
342	0.5717593623
343	0.5717075079
344	0.5716608214
345	0.5716605863
346	0.5716599469
347	0.5716507484
348	0.5715987937
349	0.5715515778
350	0.5715492602
351	0.5714986686
352	0.571489418
353	0.5714378867
354	0.5713620336
355	0.5713407814
356	0.5712584462
357	0.5712156382
358	0.5711765343
359	0.5710582377
360	0.5710430203
361	0.5709477806
362	0.5709474187
363	0.5708570975
364	0.5708442517
365	0.5708443273
366	0.5708436866
367	0.5707989091
368	0.570730872
369	0.5707118122
370	0.5706653809
371	0.570609738
372	0.5705850234
373	0.5705845824
374	0.5705843871
375	0.5705752886
376	0.570489416
377	0.5704618814
378	0.5704467524
379	0.5704375654
380	0.5703608768
381	0.5703593993
382	0.5703004322
383	0.5702952273
384	0.5702283954
385	0.5702190705
386	0.5702081178
387	0.5701584986
388	0.5701345892
389	0.5700803458
390	0.5700076686
391	0.5699879766
392	0.5699107112
393	0.5698827828
394	0.5698826684
395	0.5698054306
396	0.5697957089
397	0.5697431954
398	0.5697267974
399	0.5696851572
400	0.5695938648
401	0.5695491883
402	0.5695488677
403	0.5695287072
404	0.5695253196
405	0.5694996178
406	0.5694738621
407	0.569456037
408	0.5694247977
409	0.5694212996
410	0.5694060126
411	0.5693961028
412	0.56938542
413	0.5693257063
414	0.5693253475
415	0.5692509152
416	0.569192325
417	0.5691485217
418	0.5691371736
419	0.5691086813
420	0.5690467515
421	0.5690189895
422	0.5690040792
423	0.5689483256
424	0.5689441768
425	0.568941428
426	0.5689415067
427	0.5689366146
428	0.5689245135
429	0.5688385612
430	0.5688306433
431	0.5688224506
432	0.5688042718
433	0.5687546709
434	0.5686723854
435	0.5686549317
436	0.5686360867
437	0.5686252679
438	0.5685734984
439	0.5685688095
440	0.568560507
441	0.5684822581
442	0.5683340721
443	0.5683054363
444	0.5682961997
445	0.5682960444
446	0.5682424342
447	0.5682421128
448	0.5682028082
449	0.5681824114
450	0.5681788023
451	0.5681577076
452	0.5681577833
453	0.5681271602
454	0.5680825266
455	0.5680542293
456	0.5680049421
457	0.5679255701
458	0.5678480619
459	0.5677479143
460	0.5676463366
461	0.5676163685
462	0.5675926039
463	0.5675928016
464	0.5675291351
465	0.5674580697
466	0.5674196503
467	0.5673755719
468	0.5673305004
469	0.5672680639
470	0.5671983905
471	0.5670927311
472	0.5670596594
473	0.5670190495
474	0.566948906
475	0.5669434834
476	0.5669419617
477	0.5669270685
478	0.5669148137
479	0.5668974357
480	0.566812874
481	0.566808994
482	0.5667733503
483	0.5667316579
484	0.5666896904
485	0.5666657185
486	0.5665646358
487	0.5665213105
488	0.5664428758
489	0.5664087618
490	0.5664086786
491	0.5664073945
492	0.566376833
493	0.5663622
494	0.5663617181
495	0.566350701
496	0.5663492981
497	0.5663086359
498	0.566308878
499	0.5663017918
500	0.5663019539
501	0.5662776697
502	0.5662433268
503	0.5662134386
504	0.5661833848
505	0.566175528
506	0.5661320957
507	0.5660741521
508	0.5660296482
509	0.5660272524
510	0.5660238557
511	0.5660136734
512	0.5659999813
513	0.5659930475
514	0.5659488506
515	0.5658712557
516	0.5658448866
517	0.5658419789
518	0.5658415809
519	0.5658414881
520	0.5658168117
521	0.5657295548
522	0.5657297934
523	0.5656989325
524	0.5656476959
525	0.5656472648
526	0.5656339143
527	0.56563414
528	0.5656283763
529	0.5656246989
530	0.5656246053
531	0.5656070434
532	0.5655399804
533	0.5654563564
534	0.5653985807
535	0.5653988062
536	0.5653923082
537	0.5653838838
538	0.5653654274
539	0.5653651752
540	0.565337836
541	0.565336284
542	0.5653362979
543	0.5653340037
544	0.5653335122
545	0.5653335998
546	0.5653199332
547	0.5651941582
548	0.5651460307
549	0.5651459506
550	0.5650638418
551	0.5650196359
552	0.5649672069
553	0.5649475774
554	0.5649187688
555	0.5648994737
556	0.5648948179
557	0.5648336585
558	0.5647763148
559	0.5647435617
560	0.5647414442
561	0.5645931808
562	0.5645475327
563	0.5644958928
564	0.5644012848
565	0.5643732193
566	0.5643732003
567	0.5643188076
568	0.5643009118
569	0.5642979497
570	0.5641991482
571	0.5641610257
572	0.5641609718
573	0.5641608855
574	0.5641171622
575	0.5641173542
576	0.5640930707
577	0.5640272171
578	0.5640272831
579	0.5640084979
580	0.5639396999
581	0.5638621284
582	0.5638446054
583	0.563844486
584	0.5637929217
585	0.5637883118
586	0.5637813532
587	0.5637749437
588	0.5637298984
589	0.563623795
590	0.5636221371
591	0.5635979164
592	0.5635573092
593	0.5635426224
594	0.5635166198
595	0.5635052523
596	0.5634989041
597	0.5634868728
598	0.5634854544
599	0.563464878
600	0.563464918
601	0.5634253414
602	0.5633907521
603	0.5633354834
604	0.5633132982
605	0.5632682607
606	0.5632680296
607	0.5632484784
608	0.5632370839
609	0.5632239484
610	0.5632238755
611	0.5632142289
612	0.5631820459
613	0.5630509351
614	0.5629902605
615	0.5629733819
616	0.5629687813
617	0.5629568225
618	0.5628842811
619	0.5628729056
620	0.5628532382
621	0.5627988123
622	0.5627127448
623	0.5627109561
624	0.5627036092
625	0.5626996291
626	0.5626596974
627	0.5626453617
628	0.562619745
629	0.5625652852
630	0.5625585544
631	0.5625584026
632	0.5625573638
633	0.5625001732
634	0.562499377
635	0.5624082656
636	0.5623980217
637	0.562397962
638	0.5623784216
639	0.5623751165
640	0.5623622481
641	0.5623460215
642	0.5623427326
643	0.5622304363
644	0.5622172313
645	0.5621779716
646	0.5621355672
647	0.5620947738
648	0.5620707869
649	0.5620708923
650	0.5620706216
651	0.5620154944
652	0.5619661533
653	0.5619104327
654	0.5618090851
655	0.5617619712
656	0.5616866016
657	0.5616543422
658	0.5616542629
659	0.5616241889
660	0.5615309815
661	0.5615139419
662	0.5615112417
663	0.5614757102
664	0.5613687088
665	0.5613051993
666	0.5612653052
667	0.5612520832
668	0.5612486267
669	0.561248534
670	0.5612072027
671	0.5611620161
672	0.5611044598
673	0.5611042612
674	0.561069638
675	0.561023745
676	0.5609885805
677	0.5609518969
678	0.5609177145
679	0.5608762017
680	0.5608733447
681	0.5608266704
682	0.5607853538
683	0.560775377
684	0.560736814
685	0.5606790869
686	0.5606765673
687	0.5606717298
688	0.5606252233
689	0.5605981338
690	0.5605626182
691	0.5605430031
692	0.5605218159
693	0.5604725252
694	0.560373467
695	0.5603644296
696	0.5603581123
697	0.5603071137
698	0.5602315878
699	0.5601891693
700	0.560188877
701	0.5601888448
702	0.5601450077
703	0.5601448956
704	0.5600424695
705	0.5600378422
706	0.5599976958
707	0.5599796141
708	0.5598607553
709	0.5598606825
710	0.5598603911
711	0.5597774907
712	0.5597749377
713	0.5597506621
714	0.559696352
715	0.5596335467
716	0.559633222
717	0.5595656825
718	0.5594782485
719	0.5594474855
720	0.5594210713
721	0.5593842438
722	0.5592805824
723	0.5592475044
724	0.5591952411
725	0.559105598
726	0.5591056853
727	0.5590647174
728	0.559014294
729	0.5590042922
730	0.5589525415
731	0.5588963214
732	0.5588925202
733	0.5588436997
734	0.5588309005
735	0.558798872
736	0.558766748
737	0.5586300447
738	0.5585771091
739	0.5584606671
740	0.5583397002
741	0.5583317787
742	0.558273525
743	0.5582195234
744	0.5581666936
745	0.5580849631
746	0.5580388799
747	0.5580344024
748	0.5579324639
749	0.5578436353
750	0.5577897265
751	0.5576782058
752	0.5575748024
753	0.5575721322
754	0.5575468791
755	0.5574997547
756	0.5574692871
757	0.5574156688
758	0.5573710928
759	0.557298663
760	0.5572959124
761	0.5572849357
762	0.5572303687
763	0.5572235059
764	0.557223434
765	0.5571778675
766	0.5570455952
767	0.5570024153
768	0.556981928
769	0.5569515035
770	0.5569009789
771	0.5568221736
772	0.5567977114
773	0.5567021127
774	0.5564888004
775	0.5564392642
776	0.5563745712
777	0.5563294228
778	0.5562640885
779	0.5562130935
780	0.5561430444
781	0.5560986629
782	0.556064944
783	0.5559939176
784	0.5559252347
785	0.5558710535
786	0.5558711011
787	0.5557800195
788	0.5556967831
789	0.5556400847
790	0.5556157893
791	0.555530678
792	0.5553843828
793	0.5552465891
794	0.5551914979
795	0.5551916506
796	0.5551624985
797	0.5551157973
798	0.5550979176
799	0.5550969075
800	0.5550329029
801	0.5548918005
802	0.5548178105
803	0.5548134197
804	0.5547871308
805	0.5547296967
806	0.5546574412
807	0.5546201119
808	0.5545536835
809	0.5545052307
810	0.554411184
811	0.5543357375
812	0.5542558068
813	0.5542135103
814	0.5541645996
815	0.5541133448
816	0.5540506978
817	0.5539853542
818	0.5539138391
819	0.5538449204
820	0.5537336544
821	0.5536685597
822	0.553661352
823	0.5535162545
824	0.5535156948
825	0.5534769936
826	0.5534438064
827	0.5533451915
828	0.5532573007
829	0.5532244057
830	0.5531929761
831	0.5531452614
832	0.5530658123
833	0.5530266144
834	0.5529195341
835	0.5527058345
836	0.5526546808
837	0.5525069745
838	0.5524542114
839	0.552402805
840	0.5524028928
841	0.5523534802
842	0.5523172841
843	0.5521758303
844	0.5520845689
845	0.551972315
846	0.5519376695
847	0.5518626265
848	0.5518260541
849	0.5516927799
850	0.5516490872
851	0.5516030638
852	0.5515763059
853	0.5515137473
854	0.5513910985
855	0.5512880665
856	0.5512884978
857	0.5511834963
858	0.5510989925
859	0.5510322776
860	0.5508611985
861	0.550764945
862	0.5506990109
863	0.5505261934
864	0.5504555909
865	0.5503553807
866	0.5503105075
867	0.5501767771
868	0.5501145144
869	0.5499224514
870	0.5496951942
871	0.5496789759
872	0.5495893003
873	0.5494868343
874	0.549419298
875	0.5493754164
876	0.5493067013
877	0.5492309641
878	0.5491329199
879	0.5490859403
880	0.5490046037
881	0.5488893389
882	0.5487712618
883	0.5486667854
884	0.5485679659
885	0.5485139652
886	0.5484511599
887	0.5483813301
888	0.5483002135
889	0.5482260025
890	0.5481942603
891	0.5481637294
892	0.5480958237
893	0.5479650672
894	0.5479284894
895	0.5477962349
896	0.5476507527
897	0.5475067091
898	0.5473155553
899	0.5472481228
900	0.5471988243
901	0.5471389622
902	0.5470711754
903	0.5470200622
904	0.5469460268
905	0.546874725
906	0.5468184199
907	0.5467925448
908	0.5467257514
909	0.5465031109
910	0.5464430168
911	0.5463796272
912	0.5463162121
913	0.5462422751
914	0.5460923521
915	0.5460459091
916	0.5459621508
917	0.5458770216
918	0.545761534
919	0.5457475868
920	0.5456982799
921	0.5456605298
922	0.545461213
923	0.5454101292
924	0.5453921626
925	0.545347609
926	0.5452754051
927	0.5452047215
928	0.5450314171
929	0.5449463706
930	0.5448307272
931	0.5447906803
932	0.544734891
933	0.5446841834
934	0.5446034622
935	0.5444600519
936	0.5444243107
937	0.544353028
938	0.5442989293
939	0.5442353827
940	0.5441178112
941	0.5440278331
942	0.5439663843
943	0.5438743084
944	0.5438483296
945	0.5437190058
946	0.5436480838
947	0.5435866567
948	0.5434804265
949	0.5433927825
950	0.5433433525
951	0.5432606772
952	0.5431738274
953	0.5430763366
954	0.5429356261
955	0.5428586497
956	0.5428150536
957	0.542733834
958	0.5426996142
959	0.5425028945
960	0.542408192
961	0.5423297269
962	0.5422732699
963	0.54217702
964	0.542015935
965	0.5419604617
966	0.5418768569
967	0.5418037816
968	0.541716022
969	0.5416023799
970	0.5415170715
971	0.5414026168
972	0.5413497386
973	0.5412737479
974	0.5410947453
975	0.5409944225
976	0.5408913849
977	0.540817704
978	0.5407209089
979	0.5406430338
980	0.5404994057
981	0.5404291988
982	0.5402738853
983	0.5401425029
984	0.5399945685
985	0.5399357099
986	0.5398369865
987	0.5396878573
988	0.5396399106
989	0.5396203728
990	0.5395180377
991	0.539456374
992	0.5393346946
993	0.539177852
994	0.538982152
995	0.5388749472
996	0.5387994381
997	0.5387406918
998	0.5385893162
999	0.5385394813
